2025-06-10 22:56:09,N/A,disgust
2025-06-10 22:56:27,N/A,disgust
2025-06-10 22:56:44,N/A,disgust
2025-06-10 22:57:02,N/A,disgust
2025-06-10 22:57:19,N/A,disgust
2025-06-10 22:57:37,N/A,disgust
2025-06-10 23:01:58,N/A,disgust
2025-06-10 23:02:16,N/A,disgust
2025-06-10 23:02:33,N/A,disgust
2025-06-10 23:02:51,N/A,happy
2025-06-10 23:03:08,N/A,disgust
2025-06-10 23:03:26,N/A,disgust
2025-06-10 23:05:56,N/A,disgust
2025-06-10 23:06:13,N/A,disgust
2025-06-10 23:06:31,N/A,disgust
2025-06-10 23:09:09,N/A,disgust
2025-06-10 23:09:27,N/A,disgust
2025-06-10 23:09:44,N/A,disgust
2025-06-10 23:13:22,N/A,fear
2025-06-10 23:13:39,N/A,fear
2025-06-10 23:13:57,N/A,fear
2025-06-10 23:14:14,N/A,fear
2025-06-10 23:14:32,N/A,fear
2025-06-10 23:14:49,N/A,fear
