2025-05-19 13:23:14,Uncertain,N/A
2025-05-19 13:23:14,Uncertain,N/A
2025-05-19 13:23:14,Uncertain,N/A
2025-05-19 13:23:15,Uncertain,N/A
2025-05-19 13:23:15,angry,N/A
2025-05-19 13:23:15,angry,N/A
2025-05-19 13:23:16,Uncertain,N/A
2025-05-19 13:23:16,Uncertain,N/A
2025-05-19 13:23:16,Uncertain,N/A
2025-05-19 13:23:16,angry,N/A
2025-05-19 13:23:17,Uncertain,N/A
2025-05-19 13:23:17,angry,N/A
2025-05-19 13:23:17,angry,N/A
2025-05-19 13:23:18,neutral,N/A
2025-05-19 13:23:18,angry,N/A
2025-05-19 13:23:18,angry,N/A
2025-05-19 13:23:19,angry,N/A
2025-05-19 13:23:25,Uncertain,N/A
2025-05-19 13:23:26,neutral,N/A
2025-05-19 13:23:26,Uncertain,N/A
2025-05-19 13:23:26,neutral,N/A
