Timestamp,Face Emotion,Voice Emotion
2025-06-12 12:08:12,Uncertain,N/A
2025-06-12 12:08:12,Uncertain,N/A
2025-06-12 12:08:13,sad,N/A
2025-06-12 12:08:13,Uncertain,N/A
2025-06-12 12:08:14,disgust,N/A
2025-06-12 12:08:14,sad,N/A
2025-06-12 12:08:14,sad,N/A
2025-06-12 12:08:15,sad,N/A
2025-06-12 12:08:15,sad,N/A
2025-06-12 12:08:15,sad,N/A
2025-06-12 12:08:16,Uncertain,N/A
2025-06-12 12:08:16,Uncertain,N/A
2025-06-12 12:08:16,Uncertain,N/A
2025-06-12 12:08:17,disgust,N/A
2025-06-12 12:08:17,N/A,disgust
2025-06-12 12:08:17,Uncertain,N/A
2025-06-12 12:08:17,Uncertain,N/A
2025-06-12 12:08:17,Uncertain,N/A
2025-06-12 12:08:18,Uncertain,N/A
2025-06-12 12:08:18,Uncertain,N/A
2025-06-12 12:08:18,Uncertain,N/A
2025-06-12 12:08:18,Uncertain,N/A
2025-06-12 12:08:19,Uncertain,N/A
2025-06-12 12:08:19,Uncertain,N/A
2025-06-12 12:08:19,sad,N/A
2025-06-12 12:08:20,sad,N/A
2025-06-12 12:08:20,Uncertain,N/A
2025-06-12 12:08:20,Uncertain,N/A
2025-06-12 12:08:21,Uncertain,N/A
2025-06-12 12:08:21,Uncertain,N/A
2025-06-12 12:08:21,Uncertain,N/A
2025-06-12 12:08:21,Uncertain,N/A
2025-06-12 12:08:22,Uncertain,N/A
2025-06-12 12:08:22,Uncertain,N/A
2025-06-12 12:08:22,Uncertain,N/A
2025-06-12 12:08:22,Uncertain,N/A
2025-06-12 12:08:23,Uncertain,N/A
2025-06-12 12:08:23,N/A,disgust
2025-06-12 12:08:23,Uncertain,N/A
2025-06-12 12:08:23,sad,N/A
2025-06-12 12:08:23,sad,N/A
2025-06-12 12:08:24,Uncertain,N/A
2025-06-12 12:08:24,Uncertain,N/A
2025-06-12 12:08:24,Uncertain,N/A
2025-06-12 12:08:24,Uncertain,N/A
2025-06-12 12:08:25,Uncertain,N/A
2025-06-12 12:08:25,sad,N/A
2025-06-12 12:08:25,Uncertain,N/A
2025-06-12 12:08:25,angry,N/A
2025-06-12 12:08:26,Uncertain,N/A
2025-06-12 12:08:26,sad,N/A
2025-06-12 12:08:26,Uncertain,N/A
2025-06-12 12:08:27,Uncertain,N/A
2025-06-12 12:08:27,Uncertain,N/A
2025-06-12 12:08:27,Uncertain,N/A
2025-06-12 12:08:27,Uncertain,N/A
2025-06-12 12:08:28,Uncertain,N/A
2025-06-12 12:08:28,Uncertain,N/A
2025-06-12 12:08:28,Uncertain,N/A
2025-06-12 12:08:28,Uncertain,N/A
2025-06-12 12:08:29,Uncertain,N/A
2025-06-12 12:08:29,Uncertain,N/A
2025-06-12 12:08:29,N/A,disgust
2025-06-12 12:08:29,Uncertain,N/A
2025-06-12 12:08:29,Uncertain,N/A
2025-06-12 12:08:30,Uncertain,N/A
2025-06-12 12:08:30,Uncertain,N/A
2025-06-12 12:08:30,sad,N/A
2025-06-12 12:08:31,sad,N/A
2025-06-12 12:08:31,sad,N/A
2025-06-12 12:08:31,Uncertain,N/A
2025-06-12 12:08:32,Uncertain,N/A
2025-06-12 12:08:33,Uncertain,N/A
2025-06-12 12:08:33,sad,N/A
2025-06-12 12:08:33,Uncertain,N/A
2025-06-12 12:08:33,Uncertain,N/A
2025-06-12 12:08:34,sad,N/A
2025-06-12 12:08:34,Uncertain,N/A
2025-06-12 12:08:34,Uncertain,N/A
